pr_date,age_group,count_of_case
2021-11-24,70 years old and above,143
2021-11-25,70 years old and above,70
2021-11-26,70 years old and above,86
2021-11-27,70 years old and above,110
2021-11-28,70 years old and above,73
2021-11-29,70 years old and above,77
2021-11-30,70 years old and above,65
2021-12-01,70 years old and above,78
2021-12-02,70 years old and above,54
2021-12-03,70 years old and above,43
2021-12-04,70 years old and above,49
2021-12-05,70 years old and above,30
2021-12-06,70 years old and above,36
2021-12-07,70 years old and above,55
2021-12-08,70 years old and above,45
2021-12-09,70 years old and above,33
2021-12-10,70 years old and above,29
2021-12-11,70 years old and above,39
2021-12-12,70 years old and above,25
2021-12-13,70 years old and above,21
2021-12-14,70 years old and above,25
2021-12-15,70 years old and above,26
2021-12-16,70 years old and above,33
2021-12-17,70 years old and above,32
2021-12-18,70 years old and above,18
2021-12-19,70 years old and above,11
2021-12-20,70 years old and above,9
2021-12-21,70 years old and above,9
2021-11-24,60 - 69 years old,168
2021-11-25,60 - 69 years old,97
2021-11-26,60 - 69 years old,99
2021-11-27,60 - 69 years old,172
2021-11-28,60 - 69 years old,62
2021-11-29,60 - 69 years old,106
2021-11-30,60 - 69 years old,114
2021-12-01,60 - 69 years old,122
2021-12-02,60 - 69 years old,101
2021-12-03,60 - 69 years old,54
2021-12-04,60 - 69 years old,67
2021-12-05,60 - 69 years old,59
2021-12-06,60 - 69 years old,70
2021-12-07,60 - 69 years old,56
2021-12-08,60 - 69 years old,59
2021-12-09,60 - 69 years old,56
2021-12-10,60 - 69 years old,36
2021-12-11,60 - 69 years old,49
2021-12-12,60 - 69 years old,34
2021-12-13,60 - 69 years old,34
2021-12-14,60 - 69 years old,39
2021-12-15,60 - 69 years old,49
2021-12-16,60 - 69 years old,22
2021-12-17,60 - 69 years old,50
2021-12-18,60 - 69 years old,19
2021-12-19,60 - 69 years old,14
2021-12-20,60 - 69 years old,12
2021-12-21,60 - 69 years old,19
2021-11-24,40 - 59 years old,638
2021-11-25,40 - 59 years old,391
2021-11-26,40 - 59 years old,332
2021-11-27,40 - 59 years old,514
2021-11-28,40 - 59 years old,218
2021-11-29,40 - 59 years old,312
2021-11-30,40 - 59 years old,383
2021-12-01,40 - 59 years old,422
2021-12-02,40 - 59 years old,328
2021-12-03,40 - 59 years old,221
2021-12-04,40 - 59 years old,203
2021-12-05,40 - 59 years old,197
2021-12-06,40 - 59 years old,175
2021-12-07,40 - 59 years old,221
2021-12-08,40 - 59 years old,211
2021-12-09,40 - 59 years old,220
2021-12-10,40 - 59 years old,153
2021-12-11,40 - 59 years old,158
2021-12-12,40 - 59 years old,106
2021-12-13,40 - 59 years old,91
2021-12-14,40 - 59 years old,115
2021-12-15,40 - 59 years old,148
2021-12-16,40 - 59 years old,85
2021-12-17,40 - 59 years old,103
2021-12-18,40 - 59 years old,68
2021-12-19,40 - 59 years old,45
2021-12-20,40 - 59 years old,40
2021-12-21,40 - 59 years old,55
2021-11-24,20 - 39 years old,811
2021-11-25,20 - 39 years old,495
2021-11-26,20 - 39 years old,389
2021-11-27,20 - 39 years old,649
2021-11-28,20 - 39 years old,265
2021-11-29,20 - 39 years old,414
2021-11-30,20 - 39 years old,471
2021-12-01,20 - 39 years old,469
2021-12-02,20 - 39 years old,416
2021-12-03,20 - 39 years old,304
2021-12-04,20 - 39 years old,274
2021-12-05,20 - 39 years old,186
2021-12-06,20 - 39 years old,265
2021-12-07,20 - 39 years old,277
2021-12-08,20 - 39 years old,267
2021-12-09,20 - 39 years old,262
2021-12-10,20 - 39 years old,156
2021-12-11,20 - 39 years old,214
2021-12-12,20 - 39 years old,130
2021-12-13,20 - 39 years old,121
2021-12-14,20 - 39 years old,168
2021-12-15,20 - 39 years old,167
2021-12-16,20 - 39 years old,125
2021-12-17,20 - 39 years old,141
2021-12-18,20 - 39 years old,87
2021-12-19,20 - 39 years old,78
2021-12-20,20 - 39 years old,54
2021-12-21,20 - 39 years old,110
2021-11-24,12 - 19 years old,101
2021-11-25,12 - 19 years old,49
2021-11-26,12 - 19 years old,52
2021-11-27,12 - 19 years old,75
2021-11-28,12 - 19 years old,27
2021-11-29,12 - 19 years old,46
2021-11-30,12 - 19 years old,59
2021-12-01,12 - 19 years old,52
2021-12-02,12 - 19 years old,48
2021-12-03,12 - 19 years old,43
2021-12-04,12 - 19 years old,39
2021-12-05,12 - 19 years old,15
2021-12-06,12 - 19 years old,30
2021-12-07,12 - 19 years old,30
2021-12-08,12 - 19 years old,30
2021-12-09,12 - 19 years old,29
2021-12-10,12 - 19 years old,20
2021-12-11,12 - 19 years old,18
2021-12-12,12 - 19 years old,26
2021-12-13,12 - 19 years old,21
2021-12-14,12 - 19 years old,20
2021-12-15,12 - 19 years old,20
2021-12-16,12 - 19 years old,15
2021-12-17,12 - 19 years old,15
2021-12-18,12 - 19 years old,7
2021-12-19,12 - 19 years old,15
2021-12-20,12 - 19 years old,10
2021-12-21,12 - 19 years old,11
2021-11-24,0 - 11 years old,169
2021-11-25,0 - 11 years old,126
2021-11-26,0 - 11 years old,105
2021-11-27,0 - 11 years old,169
2021-11-28,0 - 11 years old,74
2021-11-29,0 - 11 years old,115
2021-11-30,0 - 11 years old,101
2021-12-01,0 - 11 years old,123
2021-12-02,0 - 11 years old,104
2021-12-03,0 - 11 years old,73
2021-12-04,0 - 11 years old,75
2021-12-05,0 - 11 years old,36
2021-12-06,0 - 11 years old,62
2021-12-07,0 - 11 years old,61
2021-12-08,0 - 11 years old,67
2021-12-09,0 - 11 years old,49
2021-12-10,0 - 11 years old,42
2021-12-11,0 - 11 years old,52
2021-12-12,0 - 11 years old,34
2021-12-13,0 - 11 years old,28
2021-12-14,0 - 11 years old,33
2021-12-15,0 - 11 years old,31
2021-12-16,0 - 11 years old,34
2021-12-17,0 - 11 years old,28
2021-12-18,0 - 11 years old,21
2021-12-19,0 - 11 years old,17
2021-12-20,0 - 11 years old,16
2021-12-21,0 - 11 years old,17
